,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
1496,Daniel Gafford,2020,2023,F,6-10,234.0,October 1 1998,Arkansas,gaffoda01
1497,Deng Gai,2006,2006,F,6-9,250.0,March 22 1982,Fairfield,gaide01
1498,Elmer Gainer,1948,1950,F-C,6-6,195.0,November 22 1918,DePaul,gaineel01
1499,Bill Gaines,1969,1969,G,6-4,185.0,March 10 1946,Texas A&M University-Commerce,gainebi01
1500,Corey Gaines,1989,1995,G,6-3,195.0,June 1 1965,UCLA Loyola Marymount,gaineco01
1501,Reece Gaines,2004,2006,G,6-6,205.0,January 7 1981,Louisville,gainere01
1502,Smokey Gaines,1968,1968,G,6-1,170.0,February 27 1940,LeMoyne-Owen College,gaineda01
1503,Sundiata Gaines,2010,2012,G,6-1,185.0,April 18 1986,Georgia,gainesu01
1504,Mike Gale,1972,1982,G,6-4,185.0,July 18 1950,Elizabeth City State University,galemi01
1505,Chad Gallagher,1994,1994,C,6-10,255.0,May 30 1969,Creighton,gallach01
1506,Harry Gallatin,1949,1958,F-C,6-6,210.0,April 26 1927,Truman State University,gallaha01
1507,Gene Gallette,1947,1947,F,6-2,205.0,February 22 1919,,gillege01
1508,Danilo Gallinari,2009,2022,F,6-10,233.0,August 8 1988,,gallida01
1509,Langston Galloway,2015,2022,G,6-1,200.0,December 9 1991,Saint Joseph's,gallola01
1510,Dave Gambee,1959,1970,F,6-6,215.0,April 16 1937,Oregon State,gambeda01
1511,Kevin Gamble,1988,1997,F-G,6-5,210.0,November 13 1965,Iowa,gamblke01
1512,Bob Gantt,1947,1947,F-C,6-4,205.0,June 22 1922,Duke,ganttbo01
1513,Jorge Garbajosa,2007,2008,F,6-9,245.0,December 19 1977,,garbajo01
1514,Ruben Garces,2001,2001,F,6-9,245.0,October 17 1973,Providence,garceru01
1515,Alex Garcia,2004,2005,G,6-3,220.0,March 4 1980,,garcial01
1516,Francisco Garcia,2006,2015,F-G,6-7,195.0,December 31 1981,Louisville,garcifr01
1517,Chuck Gardner,1968,1968,F,6-8,205.0,September 30 1944,Colorado,gardnch01
1518,Earl Gardner,1949,1949,F,6-3,195.0,September 18 1923,DePauw University,gardnea01
1519,Ken Gardner,1976,1976,F,6-5,205.0,September 27 1949,Utah,gardnke01
1520,Thomas Gardner,2008,2009,G,6-5,225.0,February 8 1985,Missouri,gardnth01
1521,Vern Gardner,1950,1952,F-C,6-5,200.0,May 14 1925,Utah,gardnve01
1522,Jack Garfinkel,1947,1949,G,6-0,190.0,June 13 1918,St. John's,garfija01
1523,Patricio Garino,2017,2017,G-F,6-6,210.0,May 17 1993,George Washington,garinpa01
1524,Darius Garland,2020,2023,G,6-1,192.0,January 26 2000,Vanderbilt,garlada01
1525,Gary Garland,1980,1980,G,6-4,180.0,October 12 1957,DePaul,garlaga01
1526,Winston Garland,1988,1995,G,6-2,170.0,December 19 1964,Missouri State,garlawi01
1527,Dick Garmaker,1956,1961,G-F,6-3,200.0,October 29 1932,Minnesota,garmadi01
1528,Bill Garner,1968,1968,C,6-10,220.0,June 17 1940,University of Portland,garnebi01
1529,Chris Garner,1998,2001,G,5-10,156.0,February 2 1975,Memphis,garnech01
1530,Bill Garnett,1983,1986,F,6-9,225.0,April 22 1960,Wyoming,garnebi02
1531,Kevin Garnett,1996,2016,F-C,6-11,240.0,May 19 1976,,garneke01
1532,Marlon Garnett,1999,1999,G,6-2,186.0,July 3 1975,Santa Clara,garnema01
1533,Billy Garrett,2019,2019,G,6-6,213.0,October 16 1994,DePaul,garrebi01
1534,Calvin Garrett,1981,1984,F,6-7,190.0,July 11 1956,Austin Peay State University Oral Roberts,garreca01
1535,Dean Garrett,1997,2002,C,6-10,225.0,November 27 1966,Indiana,garrede01
1536,Diante Garrett,2013,2014,G,6-4,190.0,November 3 1988,Iowa State,garredi02
1537,Dick Garrett,1970,1974,G,6-3,185.0,January 31 1947,Southern Illinois,garredi01
1538,Marcus Garrett,2022,2022,G,6-5,205.0,November 9 1998,Kansas,garrema01
1539,Rowland Garrett,1973,1977,F,6-6,210.0,July 16 1950,Florida State,garrero01
1540,Tom Garrick,1989,1992,G,6-2,185.0,July 7 1966,Rhode Island,garrito01
1541,John Garris,1984,1984,F,6-8,205.0,June 6 1959,Michigan Boston College,garrijo01
1542,Kiwane Lemorris Garris,1998,2000,G,6-2,183.0,September 24 1974,Illinois,garriki01
1543,Pat Garrity,1999,2008,F,6-9,238.0,August 23 1976,Notre Dame,garripa01
1544,Usman Garuba,2022,2023,F,6-8,220.0,March 9 2002,,garubus01
1545,Jim Garvin,1974,1974,F,6-7,200.0,February 5 1950,Boston University,garviji01
1546,Luka Garza,2022,2023,F-C,6-11,235.0,December 27 1998,Iowa,garzalu01
1547,Marc Gasol,2009,2021,C,6-11,255.0,January 29 1985,,gasolma01
1548,Pau Gasol,2002,2019,C-F,7-0,250.0,July 6 1980,,gasolpa01
1549,Frank Gates,1950,1950,G,6-0,160.0,April 12 1920,Sam Houston State University,gatesfr01
1550,Chris Gatling,1992,2002,F-C,6-10,220.0,September 3 1967,Old Dominion,gatlich01
1551,Kenny Gattison,1987,1996,F-C,6-8,225.0,May 23 1964,Old Dominion,gattike01
1552,Rudy Gay,2007,2023,F,6-8,250.0,August 17 1986,UConn,gayru01
1553,Ed Gayda,1951,1951,G-F,6-4,210.0,May 16 1927,Washington State,gaydaed01
1554,Andrew Gaze,1994,1999,G,6-7,205.0,July 24 1965,Seton Hall,gazean01
1555,Michael Gbinije,2017,2017,G,6-7,200.0,June 5 1992,Duke Syracuse,gbinimi01
1556,Reggie Geary,1997,1998,G,6-2,187.0,August 31 1973,Arizona,gearyre01
1557,Alonzo Gee,2010,2017,G,6-6,225.0,May 29 1987,Alabama,geeal01
1558,Matt Geiger,1993,2002,C,7-0,243.0,September 10 1969,Auburn Georgia Tech,geigema01
1559,Mickael Gelabale,2007,2013,F,6-7,215.0,May 22 1983,,gelabmi01
1560,Devean George,2000,2010,G-F,6-8,220.0,August 29 1977,Augsburg College,georgde01
1561,Jack George,1954,1961,G,6-2,190.0,November 13 1928,La Salle,georgja01
1562,Paul George,2011,2023,F,6-8,220.0,May 2 1990,Fresno State,georgpa01
1563,Tate George,1991,1995,G,6-5,190.0,May 29 1968,UConn,georgta01
1564,Marcus Georges-Hunt,2017,2018,G,6-5,216.0,March 28 1994,Georgia Tech,georgma01
1565,Gus Gerard,1975,1981,F-G,6-8,200.0,July 27 1953,Virginia,gerargu01
1566,Derrick Gervin,1990,1991,F,6-8,200.0,March 28 1963,Texas-San Antonio,gervide01
1567,George Gervin,1973,1986,G-F,6-7,180.0,April 27 1952,Eastern Michigan,gervige01
1568,Gorham Getchell,1947,1947,C,6-4,205.0,August 14 1920,Temple,getchgo01
1569,John Gianelli,1973,1980,C-F,6-10,220.0,June 10 1950,University of the Pacific,gianejo01
1570,Dick Gibbs,1972,1976,F-G,6-5,210.0,December 20 1948,Texas-El Paso,gibbsdi01
1571,Daniel Gibson,2007,2013,G,6-2,190.0,February 27 1986,Texas,gibsoda01
1572,Dee Gibson,1950,1950,F-G,5-11,175.0,August 25 1923,Western Kentucky,gibsode01
1573,Hoot Gibson,1950,1950,F-C,6-5,198.0,December 5 1921,Creighton,gibsoho01
1574,Jonathan Gibson,2017,2018,G,6-2,185.0,November 8 1987,New Mexico State,gibsojo01
1575,Mel Gibson,1964,1964,G,6-3,180.0,December 30 1940,Western Carolina University,gibsome01
1576,Mike Gibson,1984,1986,F,6-10,205.0,October 27 1960,USC Upstate,gibsomi01
1577,Taj Gibson,2010,2023,F,6-9,232.0,June 24 1985,USC,gibsota01
1578,J.R. Giddens,2009,2010,G,6-5,215.0,February 13 1985,Kansas New Mexico,giddejr01
1579,Josh Giddey,2022,2023,G,6-8,210.0,October 10 2002,,giddejo01
1580,Trey Gilder,2010,2010,F,6-9,185.0,January 24 1985,McNeese State University Northwestern State University,gildetr01
1581,Harry Giles,2019,2021,F-C,6-11,240.0,April 22 1998,Duke,gilesha01
1582,Shai Gilgeous-Alexander,2019,2023,G,6-6,180.0,July 12 1998,Kentucky,gilgesh01
1583,Anthony Gill,2021,2023,F,6-7,230.0,October 17 1992,South Carolina Virginia,gillan01
1584,Eddie Gill,2001,2009,G,6-0,190.0,August 16 1978,Weber State,gilled01
1585,Kendall Gill,1991,2005,G,6-5,195.0,May 25 1968,Illinois,gillke01
1586,Ben Gillery,1989,1989,C,7-0,235.0,September 19 1965,Georgetown,gillebe01
1587,Freddie Gillespie,2021,2022,F,6-9,245.0,June 14 1997,Carleton College Baylor,gillefr01
1588,Jack Gillespie,1970,1970,F,6-6,215.0,October 1 1947,Montana State,gilleja01
1589,Armen Gilliam,1988,2000,F-C,6-9,230.0,May 28 1964,UNLV,gilliar01
1590,Herm Gilliam,1970,1977,G-F,6-3,190.0,May 5 1946,Purdue,gillihe01
1591,Artis Gilmore,1972,1988,C,7-2,240.0,September 21 1949,Gardner-Webb University Jacksonville University,gilmoar01
1592,Walt Gilmore,1971,1971,F,6-6,225.0,February 27 1947,Fort Valley State University,gilmowa01
1593,Chuck Gilmur,1947,1951,F-C,6-4,225.0,August 13 1922,Washington,gilmuch01
1594,Manu Ginobili,2003,2018,G,6-6,205.0,July 28 1977,,ginobma01
1595,Gordan Giricek,2003,2008,G-F,6-6,210.0,June 20 1977,,giricgo01
1596,Jack Givens,1979,1980,F-G,6-5,205.0,September 21 1956,Kentucky,givenja01
1597,Mickell Gladness,2012,2012,C,6-11,220.0,July 26 1986,Alabama A&M University,gladnmi01
1598,George Glamack,1949,1949,C-F,6-6,225.0,June 7 1918,UNC,glamage01
1599,Gerald Glass,1991,1996,G-F,6-5,221.0,November 12 1967,Delta State University Ole Miss,glassge01
1600,Mike Glenn,1978,1987,G,6-2,175.0,September 10 1955,Southern Illinois,glennmi01
1601,Normie Glick,1950,1950,F,6-7,190.0,November 10 1927,Loyola Marymount,glickno01
1602,Georgi Glouchkov,1986,1986,F,6-8,235.0,January 10 1960,,gloucge01
1603,Clarence Glover,1972,1972,F,6-8,210.0,November 1 1947,Western Kentucky,glovecl01
1604,Dion Glover,2000,2005,G,6-5,228.0,October 22 1978,Georgia Tech,glovedi01
1605,Andreas Glyniadakis,2007,2007,C,7-1,280.0,August 21 1981,,glynian01
1606,Mike Gminski,1981,1994,C,6-11,250.0,August 3 1959,Duke,gminsmi01
1607,Rudy Gobert,2014,2023,C,7-1,258.0,June 26 1992,,goberru01
1608,Dan Godfread,1991,1992,C,6-10,250.0,June 14 1967,University of Evansville,godfrda01
1609,Tom Gola,1956,1966,G-F,6-6,205.0,January 13 1933,La Salle,golato01
1610,Ben Goldfaden,1947,1947,F,6-1,185.0,September 6 1913,George Washington,goldfbe01
1611,Anthony Goldwire,1996,2006,G,6-1,182.0,September 6 1971,Houston,goldwan01
1612,Ryan Gomes,2006,2014,F,6-7,250.0,September 1 1982,Providence,gomesry01
1613,Glen Gondrezick,1978,1983,F-G,6-6,218.0,August 30 1955,UNLV,gondrgl01
1614,Grant Gondrezick,1987,1989,G,6-5,205.0,January 19 1963,Pepperdine,gondrgr01
1615,Drew Gooden,2003,2016,F,6-10,250.0,September 24 1981,Kansas,goodedr01
1616,Gail Goodrich,1966,1979,G,6-1,170.0,April 23 1943,UCLA,goodrga01
1617,Steve Goodrich,2001,2002,F,6-10,220.0,March 18 1976,Princeton,goodrst01
1618,Archie Goodwin,2014,2017,G,6-5,200.0,August 17 1994,Kentucky,goodwar01
1619,Brandon Goodwin,2019,2022,G,6-0,180.0,October 2 1995,Central Florida Florida Gulf Coast,goodwbr01
1620,Jordan Goodwin,2022,2023,G,6-3,200.0,October 23 1998,Saint Louis,goodwjo01
1621,Pop Goodwin,1947,1948,F-C,6-2,203.0,December 22 1920,,goodwpo01
1622,Aaron Gordon,2015,2023,F,6-8,235.0,September 16 1995,Arizona,gordoaa01
1623,Ben Gordon,2005,2015,G,6-3,200.0,April 4 1983,UConn,gordobe01
1624,Drew Gordon,2015,2015,F,6-9,245.0,July 12 1990,UCLA New Mexico,gordodr01
1625,Eric Gordon,2009,2023,G-F,6-3,215.0,December 25 1988,Indiana,gordoer01
1626,Lancaster Gordon,1985,1988,G,6-3,185.0,June 24 1962,Louisville,gordola01
1627,Paul Gordon,1950,1950,F,6-3,185.0,April 8 1927,Notre Dame,gordopa01
1628,Marcin Gortat,2008,2019,C-F,6-11,240.0,February 17 1984,,gortama01
1629,Leo Gottlieb,1947,1948,G,5-11,180.0,November 28 1920,,gottlle01
1630,Andrew Goudelock,2012,2016,G,6-3,200.0,December 7 1988,College of Charleston,goudean01
1631,Gerald Govan,1968,1976,F-C,6-10,220.0,January 2 1942,Saint Mary of the Plains College,govange01
1632,Bato Govedarica,1954,1954,G,5-11,185.0,April 17 1928,DePaul,govedba01
1633,Joe Graboski,1949,1962,F-C,6-7,195.0,January 15 1930,,grabojo01
1634,Ricky Grace,1994,1994,G,6-1,180.0,August 20 1967,Midland College Oklahoma,graceri01
1635,Calvin Graham,1968,1968,G,6-2,195.0,June 7 1944,Gannon University,grahaca01
1636,Devonte' Graham,2019,2023,G,6-1,195.0,February 22 1995,Kansas,grahade01
1637,Greg Graham,1994,1998,G,6-4,174.0,November 26 1970,Indiana,grahagr01
1638,Joey Graham,2006,2011,F,6-7,225.0,June 11 1982,Central Florida Oklahoma State,grahajo01
1639,Mal Graham,1968,1969,G,6-1,185.0,February 23 1945,NYU,grahama01
1640,Orlando Graham,1989,1989,F,6-8,220.0,May 5 1965,West Texas A&M University Auburn University at Montgomery,grahaor01
1641,Paul Graham,1992,1994,F-G,6-6,200.0,November 28 1967,Ohio University,grahapa01
1642,Stephen Graham,2006,2011,G,6-6,215.0,June 11 1982,Central Florida Oklahoma State,grahast01
1643,Treveon Graham,2017,2020,G,6-5,219.0,October 28 1993,VCU,grahatr01
1644,Jim Grandholm,1991,1991,F-C,7-0,235.0,October 4 1960,Florida South Florida,grandji01
1645,Ron Grandison,1989,1996,F,6-6,215.0,July 9 1964,University of California Irvine New Orleans,grandro01
1646,Danny Granger,2006,2015,F,6-9,222.0,April 20 1983,Bradley New Mexico,grangda01
1647,Stewart Granger,1984,1987,G,6-3,190.0,October 27 1961,Villanova,grangst01
1648,Brian Grant,1995,2006,F,6-9,254.0,March 5 1972,Xavier,grantbr01
1649,Bud Grant,1950,1951,F,6-3,195.0,May 20 1927,Minnesota,grantbu01
1650,Gary Grant,1989,2001,G,6-3,185.0,April 21 1965,Michigan,grantga01
1651,Greg Grant,1990,1996,G,5-7,140.0,August 29 1966,Trenton State University,grantgr01
1652,Harvey Grant,1989,1999,F,6-8,195.0,July 4 1965,Clemson Oklahoma,grantha01
1653,Horace Grant,1988,2004,F-C,6-10,215.0,July 4 1965,Clemson,grantho01
1654,Jerami Grant,2015,2023,F,6-8,210.0,March 12 1994,Syracuse,grantje01
1655,Jerian Grant,2016,2020,G,6-4,205.0,October 9 1992,Notre Dame,grantje02
1656,Josh Grant,1994,1994,F,6-9,223.0,August 7 1967,Utah,grantjo01
1657,Paul Grant,1999,2004,C,7-0,245.0,January 6 1974,Boston College Wisconsin,grantpa01
1658,Travis Grant,1973,1976,F,6-7,215.0,January 1 1950,Kentucky State University,granttr01
1659,Donte Grantham,2019,2019,F,6-8,215.0,March 19 1995,Clemson,grantdo01
1660,Don Grate,1950,1950,F-G,6-2,185.0,August 27 1923,Ohio State,gratedo01
1661,Butch Graves,1985,1985,G,6-3,200.0,January 5 1962,Yale,gravebu01
1662,Hassani Gravett,2022,2022,G,6-2,188.0,July 16 1996,Pensacola State South Carolina,graveha01
1663,Aaron Gray,2008,2014,C,7-0,270.0,December 7 1984,Pitt,grayaa01
1664,Devin Gray,1997,2000,F,6-7,240.0,May 31 1972,Clemson,grayde01
1665,Ed Gray,1998,1999,G,6-3,210.0,September 27 1975,Tennessee California,grayed01
1666,Evric Gray,1997,1997,F,6-7,235.0,December 13 1969,UNLV,grayev01
1667,Gary Gray,1968,1968,G,6-1,185.0,February 23 1945,Oklahoma City University,grayga01
1668,Josh Gray,2018,2020,G,6-0,180.0,September 9 1993,LSU,grayjo01
1669,Leonard Gray,1975,1977,F,6-8,240.0,December 19 1951,Cal State Long Beach,grayle01
1670,Stuart Gray,1985,1991,C-F,7-0,235.0,May 27 1963,UCLA,grayst01
1671,Sylvester Gray,1989,1989,F,6-6,230.0,July 8 1967,Memphis,graysy01
1672,Wyndol Gray,1947,1948,G-F,6-1,175.0,March 20 1922,Harvard University,graywy01
1673,Jeff Grayer,1989,1998,F-G,6-5,200.0,December 17 1965,Iowa State,grayeje01
1674,Bob Greacen,1970,1972,F,6-7,206.0,September 15 1947,Rutgers University,greacbo01
1675,A.C. Green,1986,2001,F-C,6-9,220.0,October 4 1963,Oregon State,greenac01
1676,A.J. Green,2023,2023,G,6-4,200.0,September 27 1999,University of Northern Iowa,greenaj01
1677,Danny Green,2010,2022,G-F,6-6,215.0,June 22 1987,UNC,greenda02
1678,Devin Green,2006,2006,G,6-7,210.0,October 25 1982,Hampton,greende01
1679,Draymond Green,2013,2023,F,6-6,230.0,March 4 1990,Michigan State,greendr01
1680,Erick Green,2015,2016,G,6-4,185.0,May 9 1991,Virginia Tech,greener01
1681,Gerald Green,2006,2019,G-F,6-6,205.0,January 26 1986,,greenge01
1682,Jalen Green,2022,2023,G,6-4,178.0,February 9 2002,,greenja05
1683,JaMychal Green,2015,2023,F,6-8,227.0,June 21 1990,Alabama,greenja01
1684,Javonte Green,2020,2023,F,6-4,205.0,July 23 1993,Radford,greenja02
1685,Jeff Green,2008,2023,F,6-8,235.0,August 28 1986,Georgetown,greenje02
1686,Johnny Green,1960,1973,F-C,6-5,200.0,December 8 1933,Michigan State,greenjo01
1687,Josh Green,2021,2023,G-F,6-5,200.0,November 16 2000,Arizona,greenjo02
1688,Ken Green,1986,1986,F,6-8,215.0,September 19 1959,University of Texas Rio Grande Valley,greenke01
1689,Kenny Green,1986,1987,F,6-6,210.0,October 11 1964,Wake Forest,greenke02
1690,Lamar Green,1970,1975,F-C,6-7,210.0,March 22 1947,Morehead State University,greenla01
1691,Litterial Green,1993,1999,G,6-1,185.0,March 7 1970,Georgia,greenli01
1692,Luther Green,1970,1973,F,6-7,190.0,November 13 1946,Long Island University,greenlu01
1693,Mike Green,1974,1980,C-F,6-10,200.0,August 6 1951,Louisiana Tech,greenmi01
1694,Rickey Green,1978,1992,G,6-0,170.0,August 18 1954,Vincennes University Michigan,greenri01
1695,Sean Green,1992,1994,G-F,6-5,210.0,February 2 1970,NC State Iona College,greense01
1696,Si Green,1957,1966,G-F,6-2,185.0,August 20 1933,Duquesne,greensi01
1697,Sidney Green,1984,1993,F-C,6-9,220.0,January 4 1961,UNLV,greensi02
1698,Steve Green,1976,1979,F,6-7,220.0,October 4 1953,Indiana,greenst01
1699,Taurean Green,2008,2008,G,6-0,177.0,November 28 1986,Florida,greenta01
1700,Tommie Green,1979,1979,G,6-2,185.0,April 8 1956,Southern University and A&M College,greento01
1701,Willie Green,2004,2015,G,6-4,200.0,July 28 1981,Detroit Mercy,greenwi01
1702,Donte Greene,2009,2012,F,6-11,226.0,February 21 1988,Syracuse,greendo01
1703,Orien Greene,2006,2011,G,6-4,208.0,February 4 1982,Florida Louisiana,greenor01
1704,Jerry Greenspan,1964,1965,F,6-5,195.0,November 22 1941,Maryland,greenje01
1705,Dave Greenwood,1980,1991,F-C,6-9,222.0,May 27 1957,UCLA,greenda01
1706,Hal Greer,1959,1973,G-F,6-2,175.0,June 26 1936,Marshall,greerha01
1707,Lynn Greer,2007,2007,G,6-2,175.0,October 23 1979,Temple,greerly01
1708,Gary Gregor,1969,1974,F-C,6-7,225.0,August 13 1945,South Carolina,gregoga01
1709,Claude Gregory,1986,1988,F,6-8,205.0,December 26 1958,Wisconsin,gregocl01
1710,John Greig,1983,1983,F,6-7,215.0,April 28 1961,Oregon,greigjo01
1711,Norm Grekin,1954,1954,F,6-5,180.0,June 22 1930,La Salle,grekino01
1712,Kevin Grevey,1976,1985,G-F,6-5,210.0,May 12 1953,Kentucky,greveke01
1713,Dennis Grey,1969,1970,C-F,6-8,215.0,August 26 1947,California Western Uiversity,greyde01
1714,Adrian Griffin,2000,2008,G-F,6-5,217.0,July 4 1974,Seton Hall,griffad01
1715,AJ Griffin,2023,2023,F,6-6,222.0,August 25 2003,Duke,griffaj01
1716,Blake Griffin,2011,2023,F,6-9,250.0,March 16 1989,Oklahoma,griffbl01
1717,Eddie Griffin,2002,2007,F-C,6-10,220.0,May 30 1982,Seton Hall,griffed01
1718,Greg Griffin,1978,1978,F,6-7,190.0,September 6 1952,Idaho State University,griffgr01
1719,Paul Griffin,1977,1983,F-C,6-9,205.0,January 20 1954,Western Michigan,griffpa01
1720,Taylor Griffin,2010,2010,F,6-7,238.0,April 18 1986,Oklahoma,griffta01
1721,Darrell Griffith,1981,1991,G,6-4,190.0,June 16 1958,Louisville,griffda01
1722,Chuck Grigsby,1955,1955,G,6-5,190.0,August 15 1928,Dayton,grigsch01
1723,Quentin Grimes,2022,2023,G,6-5,205.0,May 8 2000,Kansas Houston,grimequ01
1724,Derek Grimm,1998,1998,F,6-9,230.0,August 3 1974,Missouri,grimmde01
1725,Woody Grimshaw,1947,1947,G,6-1,185.0,September 24 1919,Brown University,grimswo01
1726,Dick Groat,1953,1953,G,5-11,180.0,November 4 1930,Duke,groatdi01
1727,Bob Gross,1976,1983,F-G,6-6,200.0,August 3 1953,Seattle University Cal State Long Beach,grossbo01
1728,Mike Grosso,1972,1972,C,6-9,230.0,September 7 1947,Louisville,grossmi01
1729,Jerry Grote,1965,1965,G,6-4,215.0,December 28 1940,Loyola Marymount,groteje01
1730,Alex Groza,1950,1951,C,6-7,218.0,October 7 1926,Kentucky,grozaal01
1731,Dick Grubar,1970,1970,G,6-4,184.0,July 26 1947,UNC,grubadi01
1732,Anthony Grundy,2006,2006,G,6-3,180.0,April 15 1979,NC State,grundan01
1733,Ernie Grunfeld,1978,1986,G-F,6-6,210.0,April 24 1955,Tennessee,grunfer01
1734,Gene Guarilia,1960,1963,F,6-5,220.0,September 13 1937,George Washington,guarige01
1735,Petur Gudmundsson,1982,1989,C,7-2,260.0,October 30 1958,Washington,gudmupe01
1736,Marko Guduric,2020,2020,G,6-6,201.0,March 8 1995,,gudurma01
1737,Richie Guerin,1957,1970,G,6-4,195.0,May 29 1932,Iona College,gueriri01
1738,Tom Gugliotta,1993,2005,F,6-10,240.0,December 19 1969,NC State,guglito01
1739,Andres Guibert,1994,1995,F-C,6-10,225.0,October 28 1968,,guibean01
1740,Jay Guidinger,1993,1994,C,6-10,255.0,August 18 1969,University of Minnesota Duluth,guidija01
1741,Coulby Gunther,1947,1949,F,6-4,190.0,February 5 1923,Boston College,gunthco01
1742,Dave Gunther,1963,1963,F,6-7,190.0,July 22 1937,Iowa,gunthda01
1743,Al Guokas,1950,1950,F-G,6-5,200.0,August 7 1925,Saint Joseph's,guokaal01
1744,Matt Guokas,1947,1947,F,6-3,195.0,November 11 1915,Saint Joseph's,guokama01
1745,Matt Guokas,1967,1976,G-F,6-5,175.0,February 25 1944,Saint Joseph's,guokama02
1746,Jorge Gutierrez,2014,2016,G,6-3,191.0,December 27 1988,California,gutiejo01
1747,Kyle Guy,2020,2022,G,6-1,167.0,August 11 1997,Virginia,guyky01
1748,A.J. Guyton,2001,2003,G,6-1,180.0,February 12 1978,Indiana,guytoaj01
1749,Rui Hachimura,2020,2023,F,6-8,230.0,February 8 1998,Gonzaga,hachiru01
1750,Rudy Hackett,1976,1977,F,6-9,210.0,May 10 1953,Syracuse,hackeru01
1751,Hamed Haddadi,2009,2013,C,7-2,254.0,May 19 1985,,haddaha01
1752,Jim Hadnot,1968,1968,C-F,6-10,235.0,January 15 1940,Providence,hadnoji01
1753,Scott Haffner,1990,1991,G,6-3,180.0,February 2 1966,Illinois University of Evansville,haffnsc01
1754,Cliff Hagan,1957,1970,F-G,6-4,210.0,December 9 1931,Kentucky,hagancl01
1755,Glenn Hagan,1982,1982,G,6-0,170.0,June 25 1955,St. Bonaventure,hagangl01
1756,Tom Hagan,1970,1971,G,6-3,185.0,January 29 1947,Vanderbilt,haganto01
1757,Ashton Hagans,2021,2021,G,6-3,190.0,July 8 1999,Kentucky,haganas01
1758,Robert Hahn,1950,1950,C,6-10,240.0,August 25 1925,NC State,hahnro01
1759,Al Hairston,1969,1970,G,6-1,170.0,December 11 1945,Bowling Green,hairsal01
1760,Happy Hairston,1965,1975,F,6-7,225.0,May 31 1942,NYU,hairsha01
1761,Lindsay Hairston,1976,1976,F-C,6-7,180.0,December 8 1951,Michigan State,hairsli01
1762,Malik Hairston,2009,2010,G,6-6,220.0,February 23 1987,Oregon,hairsma01
1763,P.J. Hairston,2015,2016,G-F,6-6,230.0,December 24 1992,UNC,hairspj02
1764,Marcus Haislip,2003,2010,F,6-10,230.0,December 22 1980,Tennessee,haislma01
1765,Chick Halbert,1947,1951,C,6-9,225.0,February 27 1919,West Texas A&M University,halbech01
1766,Swede Halbrook,1961,1962,C,7-3,235.0,January 30 1933,Oregon State,halbrsw01
1767,Bruce Hale,1949,1951,G-F,6-1,170.0,August 30 1918,Santa Clara,halebr01
1768,Hal Hale,1968,1968,G,6-1,180.0,September 21 1945,Utah State University,haleha01
1769,Jack Haley,1989,1998,C-F,6-10,240.0,January 27 1964,UCLA,haleyja01
1770,Tyrese Haliburton,2021,2023,G,6-5,185.0,February 29 2000,Iowa State,halibty01
1771,Shaler Halimon,1969,1973,G-F,6-5,199.0,March 30 1945,Imperial Valley College Utah State University,halimsh01
1772,Devon Hall,2020,2020,G,6-2,215.0,July 7 1995,Virginia,hallde01
